source,destination
AI,AI
AI,AI
AI,AI
PIT911,ADD1
AI,AGA_US1
AI,PV_CALC
PIT911,ADD1
AI,AGA_US1
AI,PV_CALC
PIC_58091,BG1
PIT911,AI1
PIT911,ADD1
AI,AGA_US1
AI,PV_CALC
AI,PV_CALC
PIC_58091,BG1
PIT911,ADD1
AI,AGA_US1
AI,PV_CALC
AI,PV_CALC
PIC_58091,BG1
HI_HI_ALARM,AI1
HI_ALARM,AI1
LO_ALARM,AI1
LO_LO_ALARM,AI1
AI2,AGA_US1
ADD1,AGA_US1
AGA_US1,AI1
DV_HI_ALARM,PID1
DV_LO_ALARM,PID1
HI_HI_ALARM,PID1
HI_ALARM,PID1
LO_ALARM,PID1
LO_LO_ALARM,PID1
SGCR1,AO1
PID1,SGCR1
SGCR1,PID1
AO1,SGCR1
PV_CALC,PID1
PDE1,ACT1
CND3,PDE1
CND1,PID1
CALC1,PID1
NOT1,AND1
CND2,AND1
AND1,ACT2
HI_HI_ALARM,AI1
HI_ALARM,AI1
LO_ALARM,AI1
LO_LO_ALARM,AI1
AI2,AGA_US1
ADD1,AGA_US1
AGA_US1,AI1
DV_HI_ALARM,PID1
DV_LO_ALARM,PID1
HI_HI_ALARM,PID1
HI_ALARM,PID1
LO_ALARM,PID1
LO_LO_ALARM,PID1
PID1,SGCR1
SGCR1,AO1
AO1,SGCR1
SGCR1,PID1
PV_CALC,PID1
PDE1,ACT1
CND3,PDE1
CND1,PID1
CALC1,PID1
NOT1,AND1
CND2,AND1
AND1,ACT2
SCLR1,BG1
CND2,PDE1
PDE1,ACT1
RTLM1,CROSS_LIMIT
CND1,RTLM1
CROSS_LIMIT,FUEL_SP
CROSS_LIMIT,AIR_PID
RTLM1,EXCESS_O2
EXCESS_O2,AIR_PID
CENTER_GAS,ADD1
OUTER_GAS,ADD1
ADD1,BKCAL_CALC
CENTER_GAS,BKCAL_CALC
OUTER_GAS,BKCAL_CALC
BKCAL_CALC,BG1
ADD1,CROSS_LIMIT
AIR_PID,CROSS_LIMIT
CROSS_LIMIT,VIV_CURVE
RTLM1,FGR_CURVE
FGR_CURVE,FGR_FLOW
VIV_CURVE,VIV_DAMPER
AIR_CURVE,AIR_DAMPER
RTLM1,AIR_CURVE
CG_CURVE,CENTER_GAS
CROSS_LIMIT,CG_CURVE
OG_CURVE,OUTER_GAS
CROSS_LIMIT,OG_CURVE
CND3,PDE2
PDE2,ACT2
BG1,RTLM2
RTLM2,RTLM1
CND4,RTLM2
BG1,CALC1
HI_HI_ALARM,AI1
HI_ALARM,AI1
LO_ALARM,AI1
LO_LO_ALARM,AI1
HI_HI_ALARM,AI1
HI_ALARM,AI1
LO_ALARM,AI1
LO_LO_ALARM,AI1
AI2,AGA_US1
ADD1,AGA_US1
AGA_US1,AI1
DV_HI_ALARM,PID1
DV_LO_ALARM,PID1
HI_HI_ALARM,PID1
HI_ALARM,PID1
LO_ALARM,PID1
LO_LO_ALARM,PID1
SGCR1,AO1
PID1,SGCR1
SGCR1,PID1
AO1,SGCR1
PV_CALC,PID1
PDE1,ACT1
CND3,PDE1
CND1,PID1
CALC1,PID1
NOT1,AND1
CND2,AND1
AND1,ACT2
SCLR1,BG1
CND2,PDE1
RTLM1,CROSS_LIMIT
CND1,RTLM1
CROSS_LIMIT,FUEL_SP
CROSS_LIMIT,AIR_PID
RTLM1,EXCESS_O2
EXCESS_O2,AIR_PID
CENTER_GAS,ADD1
OUTER_GAS,ADD1
ADD1,BKCAL_CALC
CENTER_GAS,BKCAL_CALC
OUTER_GAS,BKCAL_CALC
BKCAL_CALC,BG1
ADD1,CROSS_LIMIT
AIR_PID,CROSS_LIMIT
CROSS_LIMIT,VIV_CURVE
RTLM1,FGR_CURVE
FGR_CURVE,FGR_FLOW
VIV_CURVE,VIV_DAMPER
AIR_CURVE,AIR_DAMPER
RTLM1,AIR_CURVE
CG_CURVE,CENTER_GAS
CROSS_LIMIT,CG_CURVE
OG_CURVE,OUTER_GAS
CROSS_LIMIT,OG_CURVE
CND3,PDE2
PDE2,ACT2
BG1,RTLM2
RTLM2,RTLM1
CND4,RTLM2
BG1,CALC1
HI_HI_ALARM,AI1
HI_ALARM,AI1
LO_ALARM,AI1
LO_LO_ALARM,AI1
HI_HI_ALARM,AI1
HI_ALARM,AI1
LO_ALARM,AI1
LO_LO_ALARM,AI1
AI2,AGA_US1
ADD1,AGA_US1
AGA_US1,AI1
DV_HI_ALARM,PID1
DV_LO_ALARM,PID1
HI_HI_ALARM,PID1
HI_ALARM,PID1
LO_ALARM,PID1
LO_LO_ALARM,PID1
SGCR1,AO1
PID1,SGCR1
SGCR1,PID1
AO1,SGCR1
PV_CALC,PID1
PDE1,ACT1
CND3,PDE1
CND1,PID1
CALC1,PID1
NOT1,AND1
CND2,AND1
AND1,ACT2
SCLR1,BG1
CND2,PDE1
RTLM1,CROSS_LIMIT
CND1,RTLM1
CROSS_LIMIT,FUEL_SP
CROSS_LIMIT,AIR_PID
RTLM1,EXCESS_O2
EXCESS_O2,AIR_PID
CENTER_GAS,ADD1
OUTER_GAS,ADD1
ADD1,BKCAL_CALC
CENTER_GAS,BKCAL_CALC
OUTER_GAS,BKCAL_CALC
BKCAL_CALC,BG1
ADD1,CROSS_LIMIT
AIR_PID,CROSS_LIMIT
CROSS_LIMIT,VIV_CURVE
RTLM1,FGR_CURVE
FGR_CURVE,FGR_FLOW
VIV_CURVE,VIV_DAMPER
AIR_CURVE,AIR_DAMPER
RTLM1,AIR_CURVE
CG_CURVE,CENTER_GAS
CROSS_LIMIT,CG_CURVE
OG_CURVE,OUTER_GAS
CROSS_LIMIT,OG_CURVE
CND3,PDE2
PDE2,ACT2
BG1,RTLM2
RTLM2,RTLM1
CND4,RTLM2
BG1,CALC1
